,mean_reward_100_steps,steps
0,-65.87714056122933,69
1,-39.35575197202671,184
2,-136.57835886729956,257
3,-136.07968620522638,357
4,-123.57156893605861,423
5,-138.26824387765623,509
6,-184.86636800017686,597
7,-175.73410128479887,722
8,-188.65523325035957,835
9,-181.64599833704133,904
10,-175.9040448037939,969
11,-168.29413581925505,1043
12,-167.26679210146114,1127
13,-180.44699794419344,1220
14,-181.77797360358517,1313
15,-177.65934039640115,1434
16,-171.7594289023712,1507
17,-173.6770924202634,1614
18,-169.06783973922728,1679
19,-174.28515941357145,1784
20,-165.89006340837045,1856
21,-163.9906765894155,1972
22,-163.35303631987503,2056
23,-163.2061688302349,2147
24,-162.34704406482888,2255
25,-164.72642650295924,2354
26,-164.9821705157741,2439
27,-163.39195343603868,2551
28,-168.03182194766396,2661
29,-166.90910069836318,2734
30,-166.3237123424627,2841
31,-174.06900051540433,2935
32,-182.2026931072406,3058
33,-179.2626315264251,3121
34,-188.33705438790346,3246
35,-194.75846826664508,3348
36,-193.83892538590882,3490
37,-194.13406694320653,3610
38,-192.9382719736052,3705
39,-192.2244526402933,3784
40,-186.58632251653674,3861
41,-183.68680974909506,3957
42,-185.54039269033748,4062
43,-186.8603553231771,4205
44,-186.36724438243158,4284
45,-190.81692662024446,4372
46,-189.3283369075315,4478
47,-187.10841116737197,4554
48,-186.53010084514722,4669
49,-184.90332343401406,4741
50,-181.44001176128754,4853
51,-178.92937108758758,4993
52,-183.86316790926125,5096
53,-185.84319138801195,5193
54,-185.67182975731674,5287
55,-188.5984000847108,5395
56,-191.07864519450493,5480
57,-191.1048801984039,5587
58,-189.79452528861628,5716
59,-191.373561770914,5835
60,-191.96168762349777,5903
61,-192.60897640080427,5996
62,-195.46148083097404,6096
63,-194.5268616663546,6174
64,-195.6090857483415,6269
65,-196.63927375324977,6388
66,-196.081774058529,6527
67,-194.0070472770129,6600
68,-192.57107346232957,6668
69,-191.9571892289073,6781
70,-194.60318705373115,6888
71,-192.7974087823333,6958
72,-195.86373511663894,7062
73,-192.4797026766273,8063
74,-193.59099195096144,8167
75,-193.19865873121728,8236
76,-194.33625508029277,8303
77,-194.2658425906634,8438
78,-193.4572962483217,8569
79,-191.7552686957898,8631
80,-190.58412750247595,8693
81,-188.60826098692456,8776
82,-187.44899402698195,8878
83,-188.41129828794206,8981
84,-189.99849981689638,9106
85,-189.22348635633446,9166
86,-188.650459097786,9240
87,-187.55468515612782,9312
88,-186.21512806790588,9433
89,-186.67133990995382,9540
90,-185.64272844214216,9647
91,-184.607595201724,9743
92,-185.35479409589306,9828
93,-184.31455701173917,9894
94,-187.7942959519835,9983
95,-187.36204626853387,10081
96,-186.5414236765245,10144
97,-187.76620204631007,10238
98,-189.23145978959647,10329
99,-188.4896997512089,10485
100,-190.0625303516187,10597
101,-193.31302367454228,10681
102,-194.76976141388243,10797
103,-194.6052128619143,10869
104,-195.91585741805517,10996
105,-195.12802163674195,11090
106,-190.95207689309515,11163
107,-190.99367613779833,11256
108,-189.68043101895302,11330
109,-189.87556597723852,11412
110,-191.1058287111453,11520
111,-191.29079449484902,11584
112,-191.36959360977832,11731
113,-188.583808679094,11816
114,-188.9256095113365,11958
115,-188.99370981718718,12030
116,-189.27206219346434,12111
117,-188.93777173864757,12240
118,-189.28356208753507,12322
119,-187.40805972373892,12438
120,-188.1463678114777,12549
121,-187.7331204819617,12629
122,-187.57759450601014,12706
123,-187.67953446699147,12840
124,-187.50519433286618,12943
125,-186.8826758546058,13080
126,-186.21074207366092,13166
127,-185.86923167911326,13253
128,-183.96455112528787,13360
129,-184.29546268372337,13478
130,-184.02420373109717,13590
131,-184.62066159746436,13674
132,-180.92555692585208,13792
133,-180.81956629618847,13888
134,-178.31804429910378,14033
135,-176.0780771917833,14121
136,-177.72159340993468,14288
137,-177.21997208167028,14402
138,-177.84489335685623,14476
139,-177.9161677434655,14546
140,-181.85250955376065,14638
141,-182.51451750845914,14755
142,-180.8790420196371,14820
143,-179.15658443705397,14909
144,-177.81282137675944,15003
145,-176.36791896285155,15108
146,-177.35613808267968,15180
147,-180.05671755669076,15318
148,-180.95995058400018,15435
149,-181.13089178724096,15576
150,-184.26039964151175,15680
151,-184.5011596547366,15837
152,-181.13784581364,15921
153,-180.94782145835995,16009
154,-182.04209051593907,16108
155,-182.36719605523035,16232
156,-180.17914767551596,16339
157,-179.85812960179643,16453
158,-181.0561590829342,16573
159,-180.15940187108464,16672
160,-178.59983617455674,16781
161,-176.68826485744336,16850
162,-173.11277416343893,16973
163,-172.26762182655474,17090
164,-170.40544980962414,17149
165,-170.20320242551546,17259
166,-172.05550511076123,17338
167,-173.57125214757005,17415
168,-174.44554305046861,17503
169,-174.68426154703985,17580
170,-172.2027078828149,17656
171,-172.8108632822939,17754
172,-169.80878481748707,17837
173,-173.18517015318798,17936
174,-171.4285425126087,18024
175,-170.0093816574242,18155
176,-171.10626029762457,18243
177,-170.95980588354294,18416
178,-170.49823922644805,18496
179,-171.35669015586495,18580
180,-171.4446435194503,18694
181,-172.72289471888442,18814
182,-173.25727597163075,18924
183,-171.60287463056903,19010
184,-169.25408572280816,19100
185,-168.5796998439377,19165
186,-169.10489898041328,19295
187,-170.33633585076404,19379
188,-171.01208657941712,19481
189,-169.2618139236236,19620
190,-169.23997847353036,19684
191,-168.96164962730305,19793
192,-167.54703887799053,19886
193,-169.22219454929407,19986
194,-165.46139718003883,20131
195,-166.47320214210885,20231
196,-167.07055176510931,20332
197,-164.9669149012969,20444
198,-162.3555457376361,20510
199,-163.88459989238618,20655
200,-164.6729514262992,20748
201,-162.84725626227225,20843
202,-161.9177347521719,20933
203,-161.03585424955588,21032
204,-163.19259584461997,21119
205,-163.40590683210021,21245
206,-163.55087289048285,21368
207,-163.93576133398778,21435
208,-163.4626806881017,21521
209,-163.57064635894287,21610
210,-162.30101153950028,21687
211,-163.4600877349461,21761
212,-163.32481128372982,21857
213,-163.43496509549922,21926
214,-163.18868303709527,22029
215,-163.64136828054305,22143
216,-166.7267938608928,22241
217,-165.75696076143268,22312
218,-165.90307346335794,22406
219,-166.5412912797471,22503
220,-166.90575218542196,22582
221,-168.46259919286692,22669
222,-168.10932027143477,22769
223,-169.93019516466876,22894
224,-169.61344865508067,22963
225,-169.27108854995822,23084
226,-168.9487837252891,23171
227,-169.15752967679552,23276
228,-169.02789859300646,23341
229,-168.91020013023422,23442
230,-169.1255745976828,23540
231,-166.4635715556684,23649
232,-167.2431285747831,23768
233,-167.12456636605563,23882
234,-168.2636100965408,24012
235,-169.38158670921737,24144
236,-167.21813730622168,24259
237,-167.1402629630321,24379
238,-167.3658694330238,24466
239,-166.91019936537305,24567
240,-164.11874911692294,24635
241,-166.77923574832255,24743
242,-167.2637974254703,24813
243,-169.31370652684606,24916
244,-169.9331452992563,24993
245,-169.98150507282415,25115
246,-167.9002800922608,25208
247,-165.45338682024808,25306
248,-164.4588897815147,25402
249,-164.8779933171063,25495
250,-163.1931535166826,25613
251,-163.49532765467947,25703
252,-165.61702548261434,25850
253,-163.7786145950703,25912
254,-161.75653868654038,25993
255,-158.68473963763873,26073
256,-158.66077426892286,26137
257,-159.4577107961883,26244
258,-158.48094334816298,26336
259,-157.24396701939713,26431
260,-157.9826288860949,26509
261,-161.33985518745325,26627
262,-162.13088245956277,26699
263,-162.31894592907346,26795
264,-162.62727123565813,26897
265,-160.85566366196002,26961
266,-158.01367136142682,27034
267,-159.95268966467657,27194
268,-160.92114271241272,27297
269,-160.762953299381,27391
270,-160.1155263643758,27497
271,-159.9671580224958,27599
272,-159.90537905728408,27659
273,-157.47051633622496,27748
274,-157.33306954254897,27808
275,-158.78163052667637,27906
276,-155.62497713438788,27975
277,-155.7754118205403,28077
278,-156.325563490854,28221
279,-155.13411474945477,28363
280,-154.92795138329194,28489
281,-156.91702360407774,28576
282,-156.4622498414904,28646
283,-156.40666806743042,28746
284,-156.42315856521984,28864
285,-158.7103269922062,28962
286,-157.78278812631225,29031
287,-158.10292636629805,29124
288,-158.96766097298644,29199
289,-159.42296077508766,29277
290,-161.65948425711852,29394
291,-162.76497184995534,29473
292,-163.1234826144684,29565
293,-161.82227760989167,29659
294,-161.9349161879383,29749
295,-160.2212760380052,29865
296,-160.89970496548645,29956
297,-160.82210473672413,30038
298,-160.60963991378944,30105
299,-159.75505648675983,30179
300,-157.6887583334006,30247
301,-157.37696803682184,30346
302,-154.87613702079912,30419
303,-154.48041653679311,30531
304,-151.84019086425576,30598
305,-151.42762061666764,30750
306,-152.5633136612399,30843
307,-151.87728112660113,30925
308,-152.19626005650747,31036
309,-154.34152006057775,31145
310,-154.7996909809804,31261
311,-153.3680435790516,31322
312,-153.0124987195584,31423
313,-154.13163849631073,31516
314,-154.20772395732948,31633
315,-154.70232919266442,31740
316,-151.2529009504469,31811
