Wall time,Step,Value
1582821305.9895759,771,-168.84913635253906
1582821305.9911022,778,-165.82981872558594
1582821306.1570795,1174,-150.72280883789062
1582821306.1596994,1181,-165.73019409179688
1582821306.275087,1474,-150.12730407714844
1582821306.296121,1534,-161.7093505859375
1582821306.3445272,1621,-167.3419647216797
1582821306.4448173,1882,-163.73776245117188
1582821306.5150578,2054,-161.1112823486328
1582821306.538261,2090,-159.4117889404297
1582821306.7380593,2421,-179.1123809814453
1582821307.0754056,3230,-190.0416717529297
1582821307.1878746,3493,-180.44908142089844
1582821307.3268635,3830,-174.02474975585938
1582821307.4166782,4065,-175.12619018554688
1582821307.43377,4098,-171.49423217773438
1582821307.5380342,4354,-170.6373291015625
1582821307.6225786,4567,-173.02059936523438
1582821307.6649537,4663,-169.54336547851562
1582821307.7496,4869,-174.1856231689453
1582821307.8394804,5067,-173.23580932617188
1582821307.8922083,5205,-175.51756286621094
1582821307.9321976,5304,-179.53790283203125
1582821307.9561229,5364,-177.99168395996094
1582821308.0352151,5511,-179.06826782226562
1582821308.2085454,5914,-184.24644470214844
1582821308.2736914,6087,-188.46929931640625
1582821308.3120914,6179,-185.6097869873047
1582821308.362793,6316,-184.42608642578125
1582821308.4332464,6476,-182.95603942871094
1582821308.4488728,6504,-184.54342651367188
1582821308.6039295,6863,-183.62364196777344
1582821308.6080418,6872,-182.8809051513672
1582821308.7686558,7214,-181.32150268554688
1582821308.7758582,7229,-180.76234436035156
1582821308.9721014,7702,-181.8172149658203
1582821309.2650113,8358,-183.3638153076172
1582821309.3374317,8544,-182.51022338867188
1582821309.3846316,8659,-182.50636291503906
1582821309.4379768,8762,-184.37953186035156
1582821309.5495574,9032,-185.6282501220703
1582821309.750791,9465,-186.93569946289062
1582821310.0469015,10157,-183.77334594726562
1582821310.1644523,10446,-181.72406005859375
1582821310.2593277,10645,-183.40211486816406
1582821310.6415024,11490,-188.426513671875
1582821310.7426858,11710,-191.72804260253906
1582821310.90186,12087,-191.61717224121094
1582821311.1745088,12695,-198.18394470214844
1582821311.249626,12847,-195.03945922851562
1582821311.2918448,12935,-193.48561096191406
1582821311.478429,13334,-196.6616973876953
1582821311.521362,13424,-198.04177856445312
1582821311.975781,14371,-208.42910766601562
1582821312.0869455,14624,-212.62147521972656
1582821312.1173422,14697,-219.13491821289062
1582821312.1695054,14824,-219.47842407226562
1582821312.2721403,15026,-220.27560424804688
1582821312.3113494,15109,-220.2521514892578
1582821312.6774023,15908,-227.36068725585938
1582821312.933127,16455,-228.18304443359375
1582821313.0923114,16774,-232.5562744140625
1582821313.1672192,16922,-231.47622680664062
1582821313.210665,17021,-230.14854431152344
1582821313.440976,17498,-229.29510498046875
1582821313.6888554,17922,-232.88433837890625
1582821313.8339348,18184,-233.73074340820312
1582821313.8522768,18232,-234.2663116455078
1582821314.0333118,18633,-235.99952697753906
1582821314.251566,19086,-243.09376525878906
1582821314.268775,19130,-245.079345703125
1582821314.3536072,19337,-246.76300048828125
1582821314.5532763,19729,-244.99359130859375
1582821314.6936436,20041,-247.32791137695312
1582821315.010127,20604,-250.7008819580078
1582821315.0691094,20718,-252.37437438964844
1582821315.26846,21090,-254.30126953125
1582821315.414333,21398,-253.465576171875
1582821315.485996,21541,-256.2924499511719
1582821315.786025,22222,-255.44102478027344
1582821316.308864,23304,-258.81842041015625
1582821316.3428674,23391,-259.4909362792969
1582821316.3791924,23457,-259.38311767578125
1582821316.7888274,24273,-261.4519348144531
1582821317.0502024,24676,-257.1044616699219
1582821317.2059398,24937,-263.3902893066406
1582821317.67001,25775,-263.8013610839844
1582821317.6934764,25823,-261.04681396484375
1582821317.979362,26304,-263.0614013671875
1582821318.081834,26507,-264.4641418457031
1582821318.3973773,26914,-266.98980712890625
1582821318.6493585,27240,-261.9958801269531
1582821318.9088628,27471,-260.968017578125
1582821319.047268,27697,-260.9867858886719
1582821319.24989,27917,-267.48284912109375
1582821320.2741325,29696,-267.44073486328125
1582821320.5676227,30194,-269.5041809082031
1582821321.0565615,31040,-273.6753845214844
1582821321.3692436,31565,-266.41583251953125
1582821321.5824409,31930,-263.72406005859375
1582821321.6065574,31970,-263.5284729003906
1582821321.613506,31983,-265.19512939453125
1582821321.9133801,32493,-261.0896301269531
1582821322.1806722,32973,-265.4667053222656
1582821322.4034307,33341,-264.7799377441406
1582821322.4597373,33424,-263.43597412109375
1582821322.596677,33733,-257.1351013183594
1582821322.9057639,34335,-251.39756774902344
1582821323.0392842,34606,-248.25375366210938
1582821323.171445,34882,-241.14796447753906
1582821323.6584737,35793,-226.26820373535156
1582821323.6754313,35832,-227.50320434570312
1582821324.1545374,36670,-231.81617736816406
1582821324.167794,36693,-232.07676696777344
1582821324.3543334,37091,-230.5425567626953
1582821324.478755,37312,-229.64361572265625
1582821324.4880605,37331,-230.62657165527344
1582821324.6981723,37681,-232.43850708007812
1582821324.9870992,38199,-232.4238739013672
1582821325.0197053,38266,-233.0975799560547
1582821325.2351315,38682,-232.96595764160156
1582821325.432105,39068,-229.5420684814453
1582821325.833541,39753,-227.32699584960938
1582821325.8388793,39763,-225.48345947265625
1582821325.912337,39906,-221.49375915527344
1582821326.0136108,40109,-221.09640502929688
1582821326.096635,40252,-219.35816955566406
1582821326.3065202,40681,-219.4749755859375
1582821326.321728,40705,-215.4660186767578
1582821326.3954816,40885,-214.02877807617188
1582821326.7528427,41401,-212.58563232421875
1582821326.7563038,41409,-209.35316467285156
1582821327.113346,42061,-208.33335876464844
1582821327.4998114,42762,-199.10401916503906
1582821327.630499,43029,-198.02285766601562
1582821327.803678,43329,-192.71173095703125
1582821327.8460414,43417,-192.439697265625
1582821328.2513564,44083,-189.43045043945312
1582821328.4781528,44365,-186.78273010253906
1582821329.072855,45137,-177.9443817138672
1582821329.4010968,45487,-175.91455078125
1582821329.6670902,45760,-178.54306030273438
1582821330.0959864,46203,-181.40347290039062
1582821330.2660444,46363,-184.40817260742188
1582821330.5039237,46574,-185.17071533203125
1582821331.387722,47359,-185.7225341796875
1582821331.701171,47915,-184.0325927734375
